N tiempo medio_ob min_ob max_ob
1000 0.003062 2894.030000 1998 5216 
1050 0.002875 3222.650000 2110 7143 
1100 0.003026 3199.300000 2200 5555 
1150 0.003186 3306.390000 2297 6981 
1200 0.003300 3579.670000 2412 5432 
1250 0.003435 3634.100000 2511 6057 
1300 0.003931 3739.870000 2651 5971 
1350 0.004095 4175.920000 2734 7017 
1400 0.003909 4148.880000 2836 9231 
1450 0.004065 4415.600000 2898 8690 
1500 0.004235 4544.730000 2997 8033 
1550 0.004351 4506.900000 3117 6673 
1600 0.004463 4910.960000 3233 8188 
1650 0.004660 4935.260000 3298 8726 
1700 0.004761 5249.010000 3398 8769 
1750 0.004979 5255.340000 3498 8831 
1800 0.005113 5178.410000 3631 8676 
1850 0.005267 5614.060000 3714 10166 
1900 0.005414 5645.620000 3799 11861 
1950 0.005519 5979.480000 3906 11975 
2000 0.005656 5789.610000 3998 11870 
2050 0.005792 6044.220000 4100 11716 
2100 0.005972 6112.650000 4198 11019 
2150 0.006066 6716.940000 4301 13543 
2200 0.006343 6538.380000 4460 13744 
2250 0.007142 6532.450000 4498 10937 
2300 0.006593 6597.520000 4629 11963 
2350 0.007185 6863.680000 4770 12118 
2400 0.006994 7061.540000 4833 13777 
2450 0.006990 7651.930000 4903 11988 
2500 0.007109 7508.620000 5000 11896 
2550 0.007339 7246.590000 5109 11712 
2600 0.007458 7562.840000 5204 12341 
2650 0.007613 7863.610000 5320 15274 
2700 0.007701 7965.550000 5419 14764 
2750 0.008734 8082.170000 5528 12478 
2800 0.009121 8317.710000 5615 16393 
2850 0.009248 8215.260000 5715 13635 
2900 0.008909 8487.120000 5797 13488 
2950 0.008721 8592.880000 5913 15475 
3000 0.008642 9044.590000 6051 17266 
3050 0.008861 8682.000000 6097 15213 
3100 0.009042 9306.810000 6290 19906 
3150 0.009204 9715.920000 6303 17850 
3200 0.009266 9752.840000 6455 17021 
3250 0.009436 9616.180000 6608 16227 
3300 0.009611 9667.750000 6796 16030 
3350 0.009809 9896.740000 6715 17705 
3400 0.009954 10009.390000 6876 16761 
3450 0.010066 9848.200000 6939 18056 
3500 0.010164 10551.610000 7127 21118 
3550 0.010315 10793.700000 7113 16174 
3600 0.010564 10625.500000 7224 19356 
3650 0.010682 10853.710000 7371 24869 
3700 0.010867 11298.750000 7399 23563 
3750 0.011288 11369.580000 7504 20138 
3800 0.011155 11502.710000 7598 20257 
3850 0.011370 11997.300000 7702 22299 
3900 0.011439 11605.170000 7797 25570 
3950 0.011637 11530.340000 7922 18777 
4000 0.011787 12053.260000 7999 17928 
4050 0.011992 12323.420000 8097 19957 
4100 0.012107 12730.920000 8197 22325 
4150 0.012318 12452.050000 8440 25114 
4200 0.012541 12117.050000 8472 22405 
4250 0.012566 12919.080000 8497 22731 
4300 0.012684 12958.160000 8638 27591 
4350 0.012830 13145.830000 8881 21624 
4400 0.013202 12832.790000 9063 19601 
4450 0.013303 13113.460000 8907 22000 
4500 0.013551 13439.500000 9169 20754 
4550 0.013557 13531.500000 9116 30036 
4600 0.013691 13184.620000 9198 21455 
4650 0.013773 14060.340000 9321 26462 
4700 0.014648 13918.910000 9446 27395 
4750 0.017038 13854.960000 9580 22242 
4800 0.017458 14276.820000 9722 22596 
4850 0.015651 14766.540000 9855 28753 
4900 0.015963 14728.380000 9800 25776 
4950 0.015884 15073.250000 10156 24133 
5000 0.016241 15100.410000 10228 23801 
5050 0.016591 14739.130000 10098 27638 
5100 0.016540 15152.900000 10262 24109 
5150 0.016809 15348.530000 10327 25717 
5200 0.017454 15471.130000 10444 27802 
5250 0.018159 15993.890000 10692 27056 
5300 0.018054 15763.360000 10714 35794 
5350 0.018090 15966.620000 10947 28510 
5400 0.018513 16652.770000 11043 28838 
5450 0.021218 15646.480000 10900 26572 
5500 0.019973 16756.010000 11038 28027 
5550 0.019258 16025.620000 11106 25606 
5600 0.018678 16730.100000 11222 28082 
5650 0.018922 16989.640000 11343 26393 
